lambda-u utility-finmean-conloop
0.0 5.290845218876265
0.1 5.242991329031957
0.2 5.195839208029623
0.3 5.149422127342271
0.4 5.103763649485925
0.5 5.058875872487031
0.6 5.014758480870324
0.7 4.9713987708193965
0.8 4.92877264496458
0.9 4.886846401476834
1.0 4.8455790245711245
1.0 4.5404256903956774
0.9 4.588972652742566
0.8 4.636860748507418
0.7 4.6840489619052015
0.6 4.730503591106878
0.5 4.776200538742769
0.4 4.821127100996478
0.3 4.86528296239273
0.2 4.908680220957976
0.1 4.951342439208245
0.0 4.993302888616538
