lambda-u utility-finmean-conloop
0.0 5.02610756865152
0.1 5.050080960770328
0.2 4.971410511437947
0.3 4.816384908811961
0.4 4.672593078599142
0.5 4.555239503913747
0.6 4.307080902038559
0.7 4.067080291744234
0.8 3.791583207584566
0.9 3.2929222280415926
1.0 2.385638390247341
1.0 1.2072442238881003
0.9 2.1498918926803023
0.8 2.6653946277237854
0.7 3.092706194150574
0.6 3.375006874442704
0.5 3.649149563153973
0.4 3.913976447055033
0.3 4.06913243542867
0.2 4.213054651389141
0.1 4.320799980643218
0.0 4.280633631348481
