problem planner-seedless path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean utility0.00cc-num utility0.00cc-numinf utility0.00cc-numfin utility0.00cc-finmean utility0.00cc-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.10cc-num utility0.10cc-numinf utility0.10cc-numfin utility0.10cc-finmean utility0.10cc-stderrfinmean utility0.10time-num utility0.10time-numinf utility0.10time-numfin utility0.10time-finmean utility0.10time-stderrfinmean utility0.20cc-num utility0.20cc-numinf utility0.20cc-numfin utility0.20cc-finmean utility0.20cc-stderrfinmean utility0.20time-num utility0.20time-numinf utility0.20time-numfin utility0.20time-finmean utility0.20time-stderrfinmean utility0.30cc-num utility0.30cc-numinf utility0.30cc-numfin utility0.30cc-finmean utility0.30cc-stderrfinmean utility0.30time-num utility0.30time-numinf utility0.30time-numfin utility0.30time-finmean utility0.30time-stderrfinmean utility0.40cc-num utility0.40cc-numinf utility0.40cc-numfin utility0.40cc-finmean utility0.40cc-stderrfinmean utility0.40time-num utility0.40time-numinf utility0.40time-numfin utility0.40time-finmean utility0.40time-stderrfinmean utility0.50cc-num utility0.50cc-numinf utility0.50cc-numfin utility0.50cc-finmean utility0.50cc-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.60cc-num utility0.60cc-numinf utility0.60cc-numfin utility0.60cc-finmean utility0.60cc-stderrfinmean utility0.60time-num utility0.60time-numinf utility0.60time-numfin utility0.60time-finmean utility0.60time-stderrfinmean utility0.70cc-num utility0.70cc-numinf utility0.70cc-numfin utility0.70cc-finmean utility0.70cc-stderrfinmean utility0.70time-num utility0.70time-numinf utility0.70time-numfin utility0.70time-finmean utility0.70time-stderrfinmean utility0.80cc-num utility0.80cc-numinf utility0.80cc-numfin utility0.80cc-finmean utility0.80cc-stderrfinmean utility0.80time-num utility0.80time-numinf utility0.80time-numfin utility0.80time-finmean utility0.80time-stderrfinmean utility0.90cc-num utility0.90cc-numinf utility0.90cc-numfin utility0.90cc-finmean utility0.90cc-stderrfinmean utility0.90time-num utility0.90time-numinf utility0.90time-numfin utility0.90time-finmean utility0.90time-stderrfinmean utility1.00cc-num utility1.00cc-numinf utility1.00cc-numfin utility1.00cc-finmean utility1.00cc-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
herbbin1 rrtconnect-default-sc00.25 50 0 50 8.577293480000002 0.3529660190613801 50 0 50 2160.2 116.88907701975668 50 0 50 1.0583642148971604 0.04218991719177367 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 8.577293480000002 0.3529660190613801 50 0 50 8.577293480000002 0.3529660190613801 50 0 50 12.039964131999996 0.4815249235169073 50 0 50 7.8254005534897155 0.3198902891641737 50 0 50 15.502634784 0.6587776948598052 50 0 50 7.0735076269794295 0.2868644037095015 50 0 50 18.965305435999998 0.854956378093376 50 0 50 6.321614700469148 0.2539078132989337 50 0 50 22.427976088 1.0596005490566711 50 0 50 5.5697217739588645 0.2210515137189826 50 0 50 25.890646739999998 1.2686200363389994 50 0 50 4.817828847448582 0.1883479978795369 50 0 50 29.353317391999994 1.4801624328300054 50 0 50 4.065935920938297 0.15589344892449974 50 0 50 32.815988043999994 1.6932824384734597 50 0 50 3.314042994428011 0.12388369164054748 50 0 50 36.278658696 1.9074513265729538 50 0 50 2.562150067917727 0.09278024151711387 50 0 50 39.741329348 2.1223515891501408 50 0 50 1.8102571414074438 0.06392010561651795 50 0 50 43.20400000000001 2.3377815403951336 50 0 50 1.0583642148971604 0.04218991719177367
herbbin2nom lemur-nchaltonoffdens10000,1.0-0.80,0.20,0 50 0 50 7.3747342593508 0.1039724708108182 50 0 50 1615.18 195.54853604928988 50 0 50 4.313229861259 0.11617087627099072 50 0 50 4.3032085056 0.11610799180718968 50 0 50 3.5811495877599997 0.06953947403034333 50 0 50 0.06078027612 0.005214304035559683 50 0 50 0.5869261509 0.07298456656048441 50 0 50 7.3747342593508 0.1039724708108182 50 0 50 7.3747342593508 0.1039724708108182 50 0 50 9.867620833415721 0.47610720420940694 50 0 50 7.068583819541622 0.10077077463674236 50 0 50 12.360507407480643 0.8568776352899165 50 0 50 6.762433379732438 0.09851178220006279 50 0 50 14.853393981545562 1.2383432119434135 50 0 50 6.45628293992326 0.09726120151703303 50 0 50 17.34628055561048 1.6200129493368163 50 0 50 6.150132500114079 0.09705802020339191 50 0 50 19.839167129675403 2.0017700712664186 50 0 50 5.843982060304899 0.09790875919971596 50 0 50 22.332053703740318 2.383572591125201 50 0 50 5.5378316204957185 0.09978646625276753 50 0 50 24.82494027780524 2.765401705513142 50 0 50 5.23168118068654 0.10263479158337233 50 0 50 27.31782685187015 3.147247734973056 50 0 50 4.9255307408773605 0.10637579572661558 50 0 50 29.81071342593509 3.529105188922175 50 0 50 4.61938030106818 0.11091919250760814 50 0 50 32.303599999999996 3.910970720985797 50 0 50 4.313229861259 0.11617087627099072
herbbookshelf1 lemur-haltonoffdens10000,1.0-0.50,0.50,0 50 0 50 5.050698887476401 0.10844938579724998 50 0 50 8950.74 739.6303907675366 50 0 50 4.1380091285698 0.2863540856355124 50 0 50 4.12320095394 0.28638745175146263 50 0 50 0.21386633046000003 0.0020272947473516994 50 0 50 0.22122814699999999 0.008517078658236622 50 0 50 3.312221618359999 0.2676627700348336 50 0 50 5.050698887476401 0.10844938579724998 50 0 50 5.050698887476401 0.10844938579724998 50 0 50 22.447108998728762 1.5707626709220393 50 0 50 4.959429911585739 0.12482236052290915 50 0 50 39.843519109981116 3.039669096587374 50 0 50 4.86816093569508 0.1418169950016344 50 0 50 57.23992922123349 4.508729290436309 50 0 50 4.77689195980442 0.15923436951282915 50 0 50 74.63633933248587 5.977829887294564 50 0 50 4.68562298391376 0.17694969560605342 50 0 50 92.0327494437382 7.446946975622278 50 0 50 4.5943540080231 0.1948817361736955 50 0 50 109.42915955499055 8.916072403437024 50 0 50 4.503085032132439 0.21297575775459723 50 0 50 126.82556966624291 10.385202631544391 50 0 50 4.411816056241778 0.23119373189229858 50 0 50 144.22197977749528 11.854335875216535 50 0 50 4.32054708035112 0.24950850871163363 50 0 50 161.61838988874769 13.323471136905681 50 0 50 4.229278104460461 0.2679002354437017 50 0 50 179.0148 14.792607815350731 50 0 50 4.1380091285698 0.2863540856355124
herbbookshelf0 rrtconnect-default-sc10.00 50 0 50 4.484532579999999 0.08912607973318812 50 0 50 23658.6 2981.631657125928 50 0 50 17.4987506914127 0.9440499754663995 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 4.484532579999999 0.08912607973318812 50 0 50 4.484532579999999 0.08912607973318812 50 0 50 51.35327932199998 5.991905938459035 50 0 50 5.78595439114127 0.14352575668978526 50 0 50 98.222026064 11.951754787985706 50 0 50 7.087376202282537 0.2237676022453408 50 0 50 145.09077280600005 17.91179669012811 50 0 50 8.38879801342381 0.3104196337739729 50 0 50 191.95951954800015 23.87188704824937 50 0 50 9.690219824565085 0.3993305278670673 50 0 50 238.8282662900001 29.831996819519375 50 0 50 10.991641635706346 0.48927037941949686 50 0 50 285.6970130320001 35.79211630589618 50 0 50 12.293063446847619 0.5797605109909532 50 0 50 332.565759774 41.752241346894536 50 0 50 13.59448525798889 0.6705781895261496 50 0 50 379.4345065160001 47.71236986090094 50 0 50 14.895907069130164 0.7616062491001048 50 0 50 426.30325325800004 53.6725006909221 50 0 50 16.19732888027143 0.8527773222271905 50 0 50 473.1719999999999 59.632633142518564 50 0 50 17.4987506914127 0.9440499754663995
herbbookshelf2 lemur-nchaltonoffdens10000,1.0-0.50,0.50,0 50 0 50 5.891865071260801 0.08813855233164086 50 0 50 8898.08 1258.1035637069965 50 0 50 6.576557841302198 0.4081958036641542 50 0 50 6.56578366318 0.408195982108516 50 0 50 3.4285108865000002 0.017886304257936757 50 0 50 0.09030051428000001 0.0033052571736732345 50 0 50 2.8644276782 0.39817788124443815 50 0 50 5.891865071260801 0.08813855233164086 50 0 50 5.891865071260801 0.08813855233164086 50 0 50 23.098838564134727 2.5895533435520446 50 0 50 5.96033434826494 0.11796268677278149 50 0 50 40.305812057008644 5.097522469623776 50 0 50 6.02880362526908 0.149084382752041 50 0 50 57.512785549882565 7.605564728017258 50 0 50 6.09727290227322 0.18083494556315285 50 0 50 74.71975904275646 10.113625711401646 50 0 50 6.165742179277361 0.21293324902294522 50 0 50 91.92673253563039 12.621694257234722 50 0 50 6.234211456281499 0.24524279028846996 50 0 50 109.13370602850435 15.12976660462489 50 0 50 6.302680733285642 0.27768984584217166 50 0 50 126.34067952137822 17.63784113184651 50 0 50 6.37115001028978 0.31023127086996144 50 0 50 143.54765301425218 20.145917024762454 50 0 50 6.43961928729392 0.3428401945713213 50 0 50 160.7546265071261 22.65399382977523 50 0 50 6.508088564298061 0.37549903228660814 50 0 50 177.96160000000003 25.16207127413993 50 0 50 6.576557841302198 0.4081958036641542
herbbookshelf2nom rrtconnect-default-sc01.60 50 0 50 7.260733659999997 0.2325502246824616 50 0 50 25817.26 2788.6663134925557 50 0 50 9.922831926344038 0.8832889053644344 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 7.260733659999997 0.2325502246824616 50 0 50 7.260733659999997 0.2325502246824616 50 0 50 58.169180294 5.610084032169068 50 0 50 7.526943486634406 0.24058150966195346 50 0 50 109.07762692800004 11.181890602607949 50 0 50 7.793153313268807 0.2774362974587454 50 0 50 159.986073562 16.75526733326212 50 0 50 8.05936313990321 0.3336973420167473 50 0 50 210.89452019599995 22.329038508837872 50 0 50 8.325572966537617 0.40128358246444396 50 0 50 261.80296682999995 27.902967752713035 50 0 50 8.591782793172019 0.4753889897830893 50 0 50 312.711413464 33.47697610968496 50 0 50 8.857992619806426 0.5534008043213396 50 0 50 363.619860098 39.05102970278231 50 0 50 9.12420244644083 0.6338783711446991 50 0 50 414.52830673199986 44.62511158088516 50 0 50 9.390412273075231 0.7159907186211563 50 0 50 465.43675336599995 50.199212321758715 50 0 50 9.656622099709637 0.799234139325426 50 0 50 516.3452000000001 55.773326269851125 50 0 50 9.922831926344038 0.8832889053644344
workcellja rrtconnect-default-sc00.25 50 0 50 7.52375536 0.46044481698809886 50 0 50 2007.12 178.08080174746632 50 0 50 1.0081141567229999 0.06590443979235912 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 7.52375536 0.46044481698809886 50 0 50 7.52375536 0.46044481698809886 50 0 50 10.785619824000003 0.6885378588616926 50 0 50 6.872191239672301 0.4182517288913174 50 0 50 14.047484287999998 0.9772924043907382 50 0 50 6.220627119344599 0.3761431356145361 50 0 50 17.309348752000002 1.2864904240891812 50 0 50 5.569062999016901 0.3341509819516943 50 0 50 20.571213216000004 1.6043552866699573 50 0 50 4.917498878689199 0.29232545138700305 50 0 50 23.833077679999995 1.9266020002735031 50 0 50 4.265934758361501 0.2507499368652674 50 0 50 27.094942143999987 2.251349763153036 50 0 50 3.6143706380338005 0.20957328710320705 50 0 50 30.356806607999992 2.5776534584074606 50 0 50 2.9628065177061007 0.1690871521332652 50 0 50 33.61867107199999 2.904988821704827 50 0 50 2.311242397378401 0.12993859274988234 50 0 50 36.880535536000004 3.233042508817261 50 0 50 1.6596782770506997 0.09381727599482244 50 0 50 40.142399999999995 3.561616034949327 50 0 50 1.0081141567229999 0.06590443979235912
workcellgh rrtconnect-default-sc00.40 50 0 50 9.653673439999999 0.6143944615409239 50 0 50 3313.78 363.3083991456789 50 0 50 1.9092246770856003 0.15658760817687276 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 9.653673439999999 0.6143944615409239 50 0 50 9.653673439999999 0.6143944615409239 50 0 50 15.315866096000004 0.9664798690680038 50 0 50 8.879228563708558 0.554870110281629 50 0 50 20.978058752000006 1.5911879851483224 50 0 50 8.10478368741712 0.4958872377276583 50 0 50 26.640251408000008 2.273954299160865 50 0 50 7.3303388111256815 0.4376648194038685 50 0 50 32.302444064 2.9750714594928827 50 0 50 6.5558939348342395 0.3805520517510172 50 0 50 37.96463672000001 3.684077266742808 50 0 50 5.781449058542801 0.3251342221074722 50 0 50 43.626829376 4.397157435139018 50 0 50 5.007004182251361 0.2724475895000492 50 0 50 49.289022032000005 5.112607436063389 50 0 50 4.232559305959921 0.22442402725371843 50 0 50 54.951214688 5.82955479989751 50 0 50 3.4581144296684787 0.1847366431940406 50 0 50 60.613407343999995 6.547507664642377 50 0 50 2.6836695533770394 0.15972519843112104 50 0 50 66.27560000000001 7.2661679829135775 50 0 50 1.9092246770856003 0.15658760817687276
workcellfg rrtconnect-default-sc00.16 50 0 50 17.38671696 0.8893138904073258 50 0 50 7803.66 724.0676446074269 50 0 50 3.14814536094658 0.2693322707950295 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 50 0 nan nan 50 0 50 17.38671696 0.8893138904073258 50 0 50 17.38671696 0.8893138904073258 50 0 50 31.255365263999998 1.8834372691835262 50 0 50 15.96285980009466 0.8099865432679071 50 0 50 45.124013568 3.214635995632503 50 0 50 14.539002640189318 0.7316214086219452 50 0 50 58.992661872 4.598970005128479 50 0 50 13.115145480283974 0.6545641691293622 50 0 50 72.861310176 5.9997714554735575 50 0 50 11.691288320378632 0.5793369469809879 50 0 50 86.72995848 7.407704220198573 50 0 50 10.267431160473288 0.5067553901456581 50 0 50 100.59860678399998 8.819353604214358 50 0 50 8.843574000567946 0.4381363183089149 50 0 50 114.46725508799994 10.233181619837419 50 0 50 7.419716840662609 0.37565745310866666 50 0 50 128.33590339199998 11.648394997559816 50 0 50 5.995859680757264 0.3229029132821131 50 0 50 142.204551696 13.064543538140297 50 0 50 4.572002520851922 0.28531866642624043 50 0 50 156.0732 14.481352892148537 50 0 50 3.14814536094658 0.2693322707950295
herbbookshelf1 lemur-haltonoffdens10000,1.0-0.01,0.99,0 50 0 50 8.3062413016458 0.4892539660643079 50 0 50 8526.52 1433.428125869118 50 0 50 3.7067124128331796 0.518890123654764 50 0 50 3.691738628279999 0.5188858431804969 50 0 50 0.21577101306000007 0.0027542545165383033 50 0 50 0.11720724708000001 0.00552911859049367 50 0 50 3.1115682136199996 0.5045763401846687 50 0 50 8.3062413016458 0.4892539660643079 50 0 50 8.3062413016458 0.4892539660643079 50 0 50 24.52865717148122 3.02662871737304 50 0 50 7.846288412764538 0.45872933099351 50 0 50 40.75107304131664 5.861565373553928 50 0 50 7.386335523883278 0.4342696277245057 50 0 50 56.973488911152046 8.70814395552619 50 0 50 6.926382635002016 0.41694361088801635 50 0 50 73.19590478098748 11.557765742477649 50 0 50 6.4664297461207525 0.4076618628260728 50 0 50 89.41832065082288 14.408625265857749 50 0 50 6.006476857239488 0.40697514517650746 50 0 50 105.64073652065835 17.260109224218137 50 0 50 5.546523968358226 0.41492613538578654 50 0 50 121.86315239049372 20.111952021076124 50 0 50 5.086571079476965 0.43103709991955236 50 0 50 138.08556826032915 22.964019967120244 50 0 50 4.626618190595704 0.4544409970876984 50 0 50 154.3079841301646 25.81623844189212 50 0 50 4.166665301714441 0.4840812047654756 50 0 50 170.53040000000001 28.668562517382366 50 0 50 3.7067124128331796 0.518890123654764
