lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.6535224799999995 0.19014820821691625 10.0 rrtconnect-default-sc10.00
0.1 4.683974044382388 0.18583415154261762 2.5 rrtconnect-default-sc02.50
0.2 4.590084312764776 0.19455712989631574 1.6 rrtconnect-default-sc01.60
0.3 4.440409449147164 0.19228506009628757 1.6 rrtconnect-default-sc01.60
0.4 4.2907345855295524 0.19574589259398148 1.6 rrtconnect-default-sc01.60
0.5 4.10078530191194 0.23288208185177864 1.0 rrtconnect-default-sc01.00
0.6 3.839165322294328 0.23987417913018544 1.0 rrtconnect-default-sc01.00
0.7 3.5775453426767148 0.251141902622153 1.0 rrtconnect-default-sc01.00
0.8 3.2254831950591023 0.2891086324937051 0.63 rrtconnect-default-sc00.63
0.9 2.7141012234414927 0.2947057103006538 0.4 rrtconnect-default-sc00.40
1.0 1.7926854038238793 0.3050124745182671 0.0 rrtconnect-default-sc00.00
