lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.1198679445735995 0.03382438230403044 10.0 bitstar-default-sc10.00
0.1 3.6691561155908046 0.047306750446394714 4.0 bitstar-default-sc04.00
0.2 3.490455238580647 0.007236415181487855 0.0 bitstar-default-sc00.00
0.3 3.1873375082909727 0.010854622772231776 0.0 bitstar-default-sc00.00
0.4 2.8842197780012957 0.014472830362975704 0.0 bitstar-default-sc00.00
0.5 2.58110204771162 0.018091037953719632 0.0 bitstar-default-sc00.00
0.6 2.277984317421944 0.02170924554446355 0.0 bitstar-default-sc00.00
0.7 1.9748665871322684 0.025327453135207484 0.0 bitstar-default-sc00.00
0.8 1.6717488568425918 0.028945660725951408 0.0 bitstar-default-sc00.00
0.9 1.368631126552916 0.03256386831669534 0.0 bitstar-default-sc00.00
1.0 1.06551339626324 0.03618207590743926 0.0 bitstar-default-sc00.00
